"var_names","is_consequence","group","group_color","var_type"
"LAMTOR5P1",1,"Other","A9EBA9",1
"LAT2",1,"Other","A9EBA9",1
"LDB1",1,"Other","A9EBA9",1
"LEF1",1,"Other","A9EBA9",1
"LEF1-AS1",1,"Other","A9EBA9",1
"LGALS1",1,"Other","A9EBA9",1
"LIG1",1,"Other","A9EBA9",1
"LIN28B",1,"Other","A9EBA9",1
"LINC00884",1,"Other","A9EBA9",1
"LINC00926",0,"TF","F0C69C",1
"LINC01515",1,"Other","A9EBA9",1
"LINC02242",1,"Other","A9EBA9",1
"LIPE",1,"Other","A9EBA9",1
"LITAF",1,"Other","A9EBA9",1
"LMNA",1,"Other","A9EBA9",1
"LMO4",1,"Other","A9EBA9",1
"LPAR5",0,"TF","F0C69C",1
"LPO",1,"Other","A9EBA9",1
"LRRC58",1,"Other","A9EBA9",1
"LRRFIP1",1,"Other","A9EBA9",1
"LSM10",1,"Other","A9EBA9",1
"LSM4",1,"Other","A9EBA9",1
"LSM5",1,"Other","A9EBA9",1
"LSM7",1,"Other","A9EBA9",1
"LSP1",1,"Other","A9EBA9",1
"LST1",1,"Other","A9EBA9",1
"LTBP1",1,"Other","A9EBA9",1
"LXN",1,"Other","A9EBA9",1
"LY86",1,"Other","A9EBA9",1
"LYL1",1,"Other","A9EBA9",1
"LYST",1,"Other","A9EBA9",1
"LYZ",1,"Other","A9EBA9",1
"MACROH2A1",1,"Other","A9EBA9",1
"MAD2L2",1,"Other","A9EBA9",1
"MAGOH",1,"Other","A9EBA9",1
"MAP2K2",1,"Other","A9EBA9",1
"MARCKS",1,"Other","A9EBA9",1
"MARCKSL1",1,"Other","A9EBA9",1
"MCM3",1,"Other","A9EBA9",1
"MDH2",1,"Other","A9EBA9",1
"MDN1",1,"Other","A9EBA9",1
"MED12L",1,"Other","A9EBA9",1
"MEF2C",1,"Other","A9EBA9",1
"MEGF6",1,"Other","A9EBA9",1
"MEIS1",1,"Other","A9EBA9",1
"METTL5",1,"Other","A9EBA9",1
"METTL8",1,"Other","A9EBA9",1
"MEX3B",0,"TF","F0C69C",1
"MFSD14A",1,"Other","A9EBA9",1
"MGAT3",1,"Other","A9EBA9",1
"MICAL2",1,"Other","A9EBA9",1
"MICOS13",1,"Other","A9EBA9",1
"MINPP1",0,"TF","F0C69C",1
"MIR1244-2",1,"Other","A9EBA9",1
"MIR1244-3",1,"Other","A9EBA9",1
"MIR924HG",1,"Other","A9EBA9",1
"MMP2",1,"Other","A9EBA9",1
"MNDA",0,"TF","F0C69C",1
"MORF4L2",1,"Other","A9EBA9",1
"MPDU1",1,"Other","A9EBA9",1
"MPIG6B",1,"Other","A9EBA9",1
"MPO",0,"TF","F0C69C",1
"MPP1",1,"Other","A9EBA9",1
"MROCKI",1,"Other","A9EBA9",1
"MS4A3",1,"Other","A9EBA9",1
"MT2A",1,"Other","A9EBA9",1
"MTARC1",1,"Other","A9EBA9",1
"MTATP8P1",1,"Other","A9EBA9",1
"MTCH2",1,"Other","A9EBA9",1
"MTCO1P40",1,"Other","A9EBA9",1
"MTCO2P12",1,"Other","A9EBA9",1
"MTCO2P2",1,"Other","A9EBA9",1
"MTCO2P22",1,"Other","A9EBA9",1
"MTCYBP18",0,"TF","F0C69C",1
"MTHFS",1,"Other","A9EBA9",1
"MTLN",1,"Other","A9EBA9",1
"MTRNR2L1",0,"TF","F0C69C",1
"MTRNR2L10",0,"TF","F0C69C",1
"MTRNR2L12",0,"TF","F0C69C",1
"MTRNR2L8",1,"Other","A9EBA9",1
"MTSS1",1,"Other","A9EBA9",1
"MYDGF",1,"Other","A9EBA9",1
"MYH10",1,"Other","A9EBA9",1
"MYL4",1,"Other","A9EBA9",1
"MYO18A",1,"Other","A9EBA9",1
"MYO1B",1,"Other","A9EBA9",1
"MZB1",1,"Other","A9EBA9",1
"MZT2A",1,"Other","A9EBA9",1
"MZT2B",0,"TF","F0C69C",1
"NAA20",1,"Other","A9EBA9",1
"NAA38",1,"Other","A9EBA9",1
"NACA3P",1,"Other","A9EBA9",1
"NAP1L1",1,"Other","A9EBA9",1
"NBEAL1",1,"Other","A9EBA9",1
"NBPF3",1,"Other","A9EBA9",1
"NCBP2AS2",1,"Other","A9EBA9",1
"NDST1",1,"Other","A9EBA9",1
"NDUFA1",1,"Other","A9EBA9",1
"NDUFA12",1,"Other","A9EBA9",1
"NDUFA2",1,"Other","A9EBA9",1
"NDUFA3",1,"Other","A9EBA9",1
"NDUFA4",1,"Other","A9EBA9",1
"NDUFA5P11",1,"Other","A9EBA9",1
"NDUFA6",1,"Other","A9EBA9",1
"NDUFA8",1,"Other","A9EBA9",1
"NDUFAB1",0,"TF","F0C69C",1
"NDUFAF3",1,"Other","A9EBA9",1
"NDUFAF4",1,"Other","A9EBA9",1
"NDUFB1",0,"TF","F0C69C",1
"NDUFB10",1,"Other","A9EBA9",1
"NDUFB11",1,"Other","A9EBA9",1
