"","family","T1","avg_dT2","avg_dT3","predicted.celltype","Colony_size","exp","distance"
"AC004076.2",0,0,0,0,0,0.027798,0,0
"AC004112.1",0,0,0,0,0,0,0,0
"AC004130.2",0,0,0,0,0,0,0,0
"AC004134.1",0,0,0,0,0,0,0,0
"AC004148.1",0,0,0,0,0,0,0,0
"AC004156.1",0,0,0,0,0.007799,0,0,0
"AC004158.1",0.001176,0,0,0,0,0,0,0
"AC004160.1",0,0,0,0,0,0,0,0
"AC004223.1",0,0,0,0,0,0,0,0
"AC004223.4",0,0,0,0,0,0,0,0
"AC004224.1",0,0,0,0,0,0,0,0
"AC004224.2",0,0,0,0,0,0,0,0
"AC004232.2",0,0,0,0,0,0,0,0
"AC004233.2",0,0,0,0,0,0,0,0
"AC004233.3",0,0,0,0,0,0,0,0
"AC004241.1",0,0,0,0,0,0,0,0
"AC004241.3",0,0,0,0,0,0,0,0
"AC004241.5",0,0,0,0,0,0,0,0
"AC004253.1",0,0,0,0,0.004619,0,0,0
"AC004263.1",0,0,0,0,0,0,0,0
"AC004263.2",0,0,0,0,0,0,0,0
"AC004264.1",0,0,0,0,0,0,0,0
"AC004381.2",0,0,0,0,0,0,0,0
"AC004381.3",0,0,0,0,0.003252,0,0,0
"AC004386.1",0,0,0,0,0.038328,0,0.008896,0
"AC004408.1",0,0,0,0,0,0,0,0
"AC004448.4",0,0,0,0,0.016474,0,0,0
"AC004453.1",0.013637,0,0,0,0,0,0.029092,0
"AC004461.2",0,0,0,0,0,0,0,0
"AC004461.3",0,0,0,0,0,0,0.000806,0
"AC004466.1",0,0,0,0,0,0,0,0
"AC004466.2",0,0,0,0,0,0,0,0
"AC004471.1",0,0,0,0,0,0.028495,0,0
"AC004477.1",0,0,0,0,0,0,0,0
"AC004477.3",0,0,0.007212,0,0,0.014195,0,0
"AC004490.1",0,0,0,0,0,0,0,0
"AC004491.1",0,0,0,0,0,0,0,0
"AC004494.1",0,0,0,0,0,0,0,0
"AC004522.6",0,0,0,0,0,0,0,0
"AC004528.1",0,0,0,0,0,0,0,0
"AC004540.1",0,0,0,0,0,0,0,0
"AC004540.2",0,0,0,0,0,0,0,0
"AC004543.1",0,0,0,0,0,0,0,0
"AC004551.1",0,0,0,0,0,0,0,0
"AC004552.1",0,0,0,0,0,0,0,0.010837
"AC004584.1",0,0,0,0,0,0,0,0
"AC004584.2",0,0,0,0,0,0,0,0
"AC004584.3",0,0,0,0,0,0,0,0
"AC004585.1",0,0,0,0,0,0,0.000981,0
"AC004593.2",0,0,0,0,0,0,0,0
"AC004596.1",0,0,0,0,0,0,0,0
"AC004623.1",0,0,0,0,0,0,0,0.007521
"AC004637.1",0,0,0,0,0,0,0,0
"AC004672.1",0,0,0,0,0,0,0,0
"AC004672.2",0,0,0,0,0,0,0,0
"AC004678.1",0,0,0,0,0,0,0,0
"AC004678.2",0,0,0,0,0,0,0,0
"AC004687.1",0,0.001589,0,0,0.040866,0,0,0
"AC004687.2",0,0,0,0.00012,0,0,0,0
"AC004687.3",0,0,0,0,0,0,0,0
"AC004692.1",0,0,0.007478,0,0,0,0,0
"AC004696.2",0,0,0,0,0,0,0,0
"AC004702.1",0,0,0.001899,0,0.007482,0,0,0
"AC004706.3",0,0,0,0,0,0,0,0
"AC004707.1",0,0,0,0,0,0,0,0
"AC004765.1",0,0,0,0,0,0,0,0.002934
"AC004771.2",0,0,0,0,0.00109,0,0,0
"AC004771.4",0,0,0,0,0,0,0,0
"AC004797.1",0,0,0,0,0,0,0,0
"AC004801.1",0,0,0,0,0,0,0,0
"AC004801.2",0,0,0,0,0,0,0,0
"AC004801.6",0,0,0,0,0,0,0,0
"AC004801.7",0,0,0,0,0,0,0,0
"AC004803.1",0,0,0,0,0,0,0,0
"AC004812.2",0,0,0,0,0,0,0,0
"AC004815.1",0,0,0,0,0,0,0,0
"AC004816.1",0,0,0,0,0,0,0,0
"AC004816.2",0,0,0,0,0,0,0,0
"AC004817.2",0,0,0,0,0,0,0,0
"AC004817.4",0,0,0,0,0,0,0,0
"AC004817.5",0,0,0,0,0,0.009066,0,0
"AC004825.3",0,0,0,0,0.014144,0,0,0
"AC004828.2",0,0,0,0,0,0,0,0
"AC004832.5",0,0,0,0,0.002534,0,0,0
"AC004832.6",0,0,0,0,0,0,0,0
"AC004834.1",0,0,0,0,0,0,0,0
"AC004835.1",0,0,0,0,0,0,0,0
"AC004837.2",0,0,0,0,0,0,0,0
"AC004837.4",0,0,0,0,0,0,0,0
"AC004839.1",0,0,0,0,0,0,0,0
"AC004840.1",0,0,0,0,0,0.001795,0,0
"AC004846.1",0,0,0,0,0,0,0,0
"AC004846.2",0,0,0,0,0,0,0,0
"AC004847.1",0,0,0,0,0,0,0,0
"AC004854.2",0,0,0,0,0,0,0,0
"AC004858.1",0,0,0,0,0,0.004862,0,0
"AC004863.1",0,0,0,0,0,0,0,0
"AC004865.1",0,0,0,0,0,0,0,0
"AC004865.2",0,0,0,0,0,0,0,0
"AC004870.1",0,0,0,0,0,0,0,0
"AC004877.1",0,0,0,0,0,0,0,0
"AC004882.2",0,0,0,0,0,0,0,0
"AC004882.4",0,0,0,0,0,0,0,0
"AC004884.1",0,0,0,0,0.004849,0,0,0
"AC004884.2",0,0,0,0,0,0,0,0
"AC004890.1",0,0,0,0,0,0,0.051534,0.024384
"AC004890.2",0,0,0,0,0,0,0,0
"AC004890.3",0,0,0,0,0,0.002685,0,0
"AC004893.2",0,0,0,0,0,0,0,0
"AC004895.1",0,0,0,0,0,0,0,0
"AC004898.1",0,0,0,0,0,0,0,0
"AC004908.2",0,0,0,0,0,0,0,0
"AC004921.1",0,0,0,0,0,0,0,0
"AC004921.2",0,0,0,0,0,0,0,0
"AC004922.1",0,0,0,0,0,0,0,0
"AC004923.4",0,0,0,0,0,0,0,0
"AC004938.2",0,0,0,0,0,0,0,0
"AC004943.1",0,0,0,0,0,0,0.000135,0
"AC004943.2",0,0,0,0,0,0,0,0
"AC004943.3",0,0.007169,0,0,0.004849,0,0,0
