"var_names","is_consequence","group","group_color"
"IRAK3",1,"Other","A9EBA9"
"IRF8",0,"TF","F0C69C"
"ISOC2",1,"Other","A9EBA9"
"ITGA2B",0,"TF","F0C69C"
"ITGAE",1,"Other","A9EBA9"
"ITM2A",0,"TF","F0C69C"
"JAKMIP2",1,"Other","A9EBA9"
"JAML",1,"Other","A9EBA9"
"KCNE3",1,"Other","A9EBA9"
"KCNH2",0,"TF","F0C69C"
"KCNK6",1,"Other","A9EBA9"
"KDM5D",0,"TF","F0C69C"
"KEL",0,"TF","F0C69C"
"KIAA0319L",1,"Other","A9EBA9"
"KIAA0930",1,"Other","A9EBA9"
"KLF1",0,"TF","F0C69C"
"KLHDC8B",1,"Other","A9EBA9"
"KRTCAP2",1,"Other","A9EBA9"
"KTN1",1,"Other","A9EBA9"
"KXD1",1,"Other","A9EBA9"
"LAGE3",1,"Other","A9EBA9"
"LAMTOR2",1,"Other","A9EBA9"
"LAMTOR4",1,"Other","A9EBA9"
"LAMTOR5P1",1,"Other","A9EBA9"
"LAT2",1,"Other","A9EBA9"
"LDB1",1,"Other","A9EBA9"
"LEF1",1,"Other","A9EBA9"
"LEF1-AS1",1,"Other","A9EBA9"
"LINC00884",1,"Other","A9EBA9"
"LINC00926",0,"TF","F0C69C"
"LINC01515",1,"Other","A9EBA9"
"LINC02242",1,"Other","A9EBA9"
"LIPE",1,"Other","A9EBA9"
"LITAF",1,"Other","A9EBA9"
"LMNA",1,"Other","A9EBA9"
"LMO4",1,"Other","A9EBA9"
"LPAR5",0,"TF","F0C69C"
"LPO",1,"Other","A9EBA9"
"LSM10",1,"Other","A9EBA9"
"LSM4",1,"Other","A9EBA9"
"LSM5",1,"Other","A9EBA9"
"LSM7",1,"Other","A9EBA9"
"LSP1",1,"Other","A9EBA9"
"LST1",1,"Other","A9EBA9"
"LTBP1",1,"Other","A9EBA9"
"LXN",1,"Other","A9EBA9"
"LY86",1,"Other","A9EBA9"
"LYL1",1,"Other","A9EBA9"
"LYST",1,"Other","A9EBA9"
"LYZ",1,"Other","A9EBA9"
"MAD2L2",1,"Other","A9EBA9"
"MANF",1,"Other","A9EBA9"
"MAP2K2",1,"Other","A9EBA9"
"MARCKS",1,"Other","A9EBA9"
"MCM3",1,"Other","A9EBA9"
"MDH2",1,"Other","A9EBA9"
"MED12L",1,"Other","A9EBA9"
"MEF2C",1,"Other","A9EBA9"
"MEIS1",1,"Other","A9EBA9"
"METTL26",1,"Other","A9EBA9"
"MEX3B",0,"TF","F0C69C"
"MFSD14A",1,"Other","A9EBA9"
"MGAT3",1,"Other","A9EBA9"
"MICAL2",1,"Other","A9EBA9"
"MICOS13",1,"Other","A9EBA9"
"MINPP1",0,"TF","F0C69C"
"MIR1244-2",1,"Other","A9EBA9"
"MIR1244-3",1,"Other","A9EBA9"
"MIR924HG",1,"Other","A9EBA9"
"MNDA",0,"TF","F0C69C"
"MPDU1",1,"Other","A9EBA9"
"MPIG6B",1,"Other","A9EBA9"
"MPO",0,"TF","F0C69C"
"MPP1",1,"Other","A9EBA9"
"MROCKI",1,"Other","A9EBA9"
"MRTFA",1,"Other","A9EBA9"
"MS4A3",1,"Other","A9EBA9"
"MS4A6A",1,"Other","A9EBA9"
"MT2A",1,"Other","A9EBA9"
"MTARC1",1,"Other","A9EBA9"
"MTATP8P1",1,"Other","A9EBA9"
"MTCH2",1,"Other","A9EBA9"
"MTCO1P40",1,"Other","A9EBA9"
"MTCO2P12",1,"Other","A9EBA9"
"MTCO2P22",1,"Other","A9EBA9"
"MTCYBP18",0,"TF","F0C69C"
"MTLN",1,"Other","A9EBA9"
"MTRNR2L1",0,"TF","F0C69C"
"MTRNR2L10",0,"TF","F0C69C"
"MTRNR2L12",0,"TF","F0C69C"
"MTRNR2L8",1,"Other","A9EBA9"
"MTSS1",1,"Other","A9EBA9"
"MYDGF",1,"Other","A9EBA9"
"MYH10",1,"Other","A9EBA9"
"MYL4",1,"Other","A9EBA9"
"MYO18A",1,"Other","A9EBA9"
"MYO1B",1,"Other","A9EBA9"
"MZB1",1,"Other","A9EBA9"
"MZT2A",1,"Other","A9EBA9"
"MZT2B",0,"TF","F0C69C"
"NAA38",1,"Other","A9EBA9"
"NACA3P",1,"Other","A9EBA9"
"NAP1L1",1,"Other","A9EBA9"
"NBEAL1",1,"Other","A9EBA9"
"NBPF3",1,"Other","A9EBA9"
"NCBP2AS2",1,"Other","A9EBA9"
"NDUFA1",1,"Other","A9EBA9"
"NDUFA12",1,"Other","A9EBA9"
"NDUFA2",1,"Other","A9EBA9"
"NDUFA3",1,"Other","A9EBA9"
"NDUFA4",1,"Other","A9EBA9"
"NDUFA5P11",1,"Other","A9EBA9"
"NDUFA6",1,"Other","A9EBA9"
"NDUFAB1",0,"TF","F0C69C"
"NDUFB1",1,"Other","A9EBA9"
"NDUFB11",1,"Other","A9EBA9"
"NDUFB1P1",0,"TF","F0C69C"
"NDUFB3",1,"Other","A9EBA9"
"NDUFB4",1,"Other","A9EBA9"
"NDUFB5",1,"Other","A9EBA9"
"NDUFB6",1,"Other","A9EBA9"
"NDUFB7",1,"Other","A9EBA9"
"NDUFB8P2",1,"Other","A9EBA9"
"NDUFS5P3",1,"Other","A9EBA9"
"NDUFS6",1,"Other","A9EBA9"
"NDUFS7",1,"Other","A9EBA9"
"NDUFS8",1,"Other","A9EBA9"
"NEDD8P1",1,"Other","A9EBA9"
"NENF",1,"Other","A9EBA9"
"NETO2",1,"Other","A9EBA9"
"NFIB",1,"Other","A9EBA9"
"NKD2",1,"Other","A9EBA9"
"NKG7",1,"Other","A9EBA9"
"NME2",1,"Other","A9EBA9"
"NME2P1",1,"Other","A9EBA9"
"NOG",1,"Other","A9EBA9"
"NOL4L",1,"Other","A9EBA9"
"NOLC1",1,"Other","A9EBA9"
"NOP10",1,"Other","A9EBA9"
"NT5DC2",1,"Other","A9EBA9"
"NTHL1",1,"Other","A9EBA9"
"NTRK1",1,"Other","A9EBA9"
"NUP93",1,"Other","A9EBA9"
"OCIAD2",1,"Other","A9EBA9"
"OST4",1,"Other","A9EBA9"
"P2RY2",1,"Other","A9EBA9"
"PAIP2",1,"Other","A9EBA9"
"PARK7",1,"Other","A9EBA9"
"PARP8",1,"Other","A9EBA9"
"PCYT1B",1,"Other","A9EBA9"
"PDCD5",1,"Other","A9EBA9"
"PDCD5P1",1,"Other","A9EBA9"
"PDE3B",1,"Other","A9EBA9"
"PDE4D",1,"Other","A9EBA9"
"PDLIM1",1,"Other","A9EBA9"
"PDXP",1,"Other","A9EBA9"
"PFDN5",1,"Other","A9EBA9"
"PFN1",1,"Other","A9EBA9"
"PFN1P1",1,"Other","A9EBA9"
"PHB",1,"Other","A9EBA9"
"PHPT1",1,"Other","A9EBA9"
"PIMREG",1,"Other","A9EBA9"
"PIN4P1",1,"Other","A9EBA9"
"PIP5K1B",1,"Other","A9EBA9"
"PKIG",0,"TF","F0C69C"
"PLAC8",1,"Other","A9EBA9"
"PLIN2",1,"Other","A9EBA9"
"PLPPR3",1,"Other","A9EBA9"
"PNISR",1,"Other","A9EBA9"
"PNMT",0,"TF","F0C69C"
"POLR2F",1,"Other","A9EBA9"
"POLR2G",1,"Other","A9EBA9"
"POLR2H",1,"Other","A9EBA9"
"POLR2J",1,"Other","A9EBA9"
"POLR2L",1,"Other","A9EBA9"
"POMP",1,"Other","A9EBA9"
"PPIB",1,"Other","A9EBA9"
"PPIP5K2",1,"Other","A9EBA9"
"PPM1H",1,"Other","A9EBA9"
"PPP1R14A",0,"TF","F0C69C"
"PRADC1",1,"Other","A9EBA9"
"PRAM1",0,"TF","F0C69C"
"PRDX1",1,"Other","A9EBA9"
"PRELID1",1,"Other","A9EBA9"
"PRKX",1,"Other","A9EBA9"
"PRKY",0,"TF","F0C69C"
"PRMT1",1,"Other","A9EBA9"
"PRSS21",0,"TF","F0C69C"
"PRSS23",1,"Other","A9EBA9"
"PRTN3",1,"Other","A9EBA9"
"PSMA6",1,"Other","A9EBA9"
"PSMB1",1,"Other","A9EBA9"
"PSMB3",1,"Other","A9EBA9"
"PSMB5",1,"Other","A9EBA9"
"PSMB6",1,"Other","A9EBA9"
"PSMC3",1,"Other","A9EBA9"
"PSMC4",1,"Other","A9EBA9"
"PSMC5",1,"Other","A9EBA9"
"PSMD1",1,"Other","A9EBA9"
"PSMD4",1,"Other","A9EBA9"
"PSME2",1,"Other","A9EBA9"
"PSME3",1,"Other","A9EBA9"
